point1.x,point1.y,point2.x,point2.y
-1670.27,694.09,-82067.9,273.134
2.44575,806.458,-1670.27,694.09
2.44575,806.458,32.6984,808.491
12.9114,858.174,34.0453,811.162
34.0453,811.162,32.6984,808.491
2.93003,572.652,-4714.86,344.093
-6786.3,314.508,-81420,-369.738
-4714.86,344.093,-6786.3,314.508
16.8571,589.171,2.93003,572.652
16.8571,589.171,27.4246,601.705
14.9111,619.595,27.4246,601.705
-1397.47,693.451,-1670.27,694.09
-280.122,717.6,-1397.47,693.451
11.8707,766.214,-280.122,717.6
11.8707,766.214,28.1338,768.922
32.6984,808.491,30.2092,777.545
30.2092,777.545,28.1338,768.922
-2184.27,372.736,-4714.86,344.093
-775.854,415.675,-2184.27,372.736
-65.582,506.077,-775.854,415.675
20.9466,538.108,-65.582,506.077
20.9466,538.108,35.9102,543.647
1.96096,620.272,14.9111,619.595
1.96096,620.272,-1397.47,693.451
35.7186,647.629,14.9111,619.595
7.20477,152.31,-67882.7,-12700.2
21.0842,163.282,7.20477,152.31
21.0842,163.282,33.5331,173.123
-14.012,201.979,-6786.3,314.508
20.8663,261.138,11.9274,215.959
11.9274,215.959,-14.012,201.979
19.602,262.865,20.8663,261.138
-41.972,884.453,-86889.9,5203.92
35.7466,926.493,-41.972,884.453
35.7466,926.493,49.6126,933.993
-39.0976,280.457,-2184.27,372.736
18.7249,316.401,-39.0976,280.457
18.7249,316.401,21.7095,318.256
42.0591,115.69,-49109.4,-26105.5
-6.70413,696.615,-280.122,717.6
33.9865,711.95,-6.70413,696.615
33.9865,711.95,46.2575,716.574
28.1338,768.922,56.1102,735.494
56.1102,735.494,46.2575,716.574
-575.897,410.792,-775.854,415.675
-200.562,418.364,-575.897,410.792
5.514,444.817,-200.562,418.364
29.7525,453.435,5.514,444.817
29.7525,453.435,47.314,459.679
60.9723,484.254,47.314,459.679
7.88418,347.317,-575.897,410.792
19.4118,350.088,7.88418,347.317
37.6559,363.814,19.4118,350.088
42.3245,394.316,37.6559,363.814
3.31536,572.313,35.9102,543.647
3.31536,572.313,2.93003,572.652
27.4246,601.705,35.0482,596.204
35.0482,596.204,46.4692,582.173
46.4692,582.173,39.0695,543.852
-4.72793,274.759,-39.0976,280.457
21.7095,318.256,24.9357,316.973
